ID,Dependancy,Quest,Territory,Type,Quest Acquisition Description,Level,DLC,Missable,Notes
18,,Gwent: Playing Thaler,Novigrad,Secondary,"Seven Cats Inn, Thaler",0,Base Game,N,"After finding Thaler during A Deadly Plot, talk to him again immediately to play him there. If not, he will go to Seven Cats Inn"
19,,Gwent: Skellige Style,Skellige,Secondary,Notice Board: Kaer Trolde Harbor,0,Base Game,N,
20,,Hazardous Goods,Velen,Secondary,"Man trapped by ghouls, along road between Lindenvale and Lurtch",0,Base Game,N,
21,,Hidden from the World,Velen,Treasure Hunt,"Across the water, southeast from the Ferry Station signpost, you’ll find deserters in a camp overlooking a road. There are three deserters, all are level 9. Kill them. You’ll find the corpse lying between a box and two barrels.",0,Base Game,N,
22,67,In Ciri's Footsteps,Multiple,Main,Main Quest 7: During The Nilfgaardian Connection,0,Base Game,N,
23,-1,Kaer Morhen,Kaer Morhen,Main,Main Quest 1: Prologue,0,Base Game,N,
24,23,Lilac and Gooseberries,White Orchard,Main,Main Quest 2: After Kaer Morhen,0,Base Game,N,
25,,Message from an Old Friend,Novigrad,Secondary,Bookstore at Hierarch Square,0,Base Game,N,
26,,Lost Goods,Velen,Treasure Hunt,North from the Ferry Station signpost there is the body of a Nilfgaardian soldier - find notes and read,0,Base Game,N,
27,,"Out of the Frying Pan, Into the Fire",Velen,Treasure Hunt,Southwest of the Marauder's Bridge marker is an Undiscovered Location that will become a Hidden Treasure. Look for a cellar door you can bust through with Aard. Check the body in the small cave beyond,0,Base Game,N,
28,,Precious Cargo,White Orchard,Secondary,"Southwestern road leading to the Nilfgaardian Garrison. Just south of the swamp, at a campsite.",0,Base Game,N,Keep the medicine = 50 crowns. Other choices = no money
29,,Race: The Great Erasmus Vegelbud Memorial Derby,Novigrad,Secondary,Town crier will appear in the center of Hierarch Square. Take pamplhet from table and read it,0,Base Game,N,
30,,Races: Crow's Perch,Velen,Secondary,Notice Board: Crow's Perch,0,Base Game,N,
31,,The Heroes' Pursuits: Fayrlund,Skellige,Secondary,Talk to Svana in Larvik,0,Base Game,N,
32,,The Heroes' Pursuits: For the Goddess' Glory!,Skellige,Secondary,Talk to Svana in Larvik,0,Base Game,N,
33,,The Heroes' Pursuits: Fyresdal,Skellige,Secondary,Talk to Svana in Larvik,0,Base Game,N,
34,,The Heroes' Pursuits: Kaer Trolde,Skellige,Secondary,Talk to Svana in Larvik,0,Base Game,N,
35,,The Nithing,Skellige,Secondary,Notice Board: Rannvaig,0,Base Game,N,
36,,Twisted Firestarter,White Orchard,Secondary,"Dwarf blacksmith's hut, main White Orchard town",0,Base Game,N,
37,,Worthy of Trust,Skellige,Secondary,Merchants' camp between Kaer Trolde Harbor and Crossroads,0,Base Game,N,Requires that you prior gave the Novigrad merchant a loan to get home. Find him initially by Kaer Trolde docks.
38,,Big Feet to Fill: The Second Group,Toussaint,Secondary,South bank of the river across Plegmund's Bridge,0,Blood and Wine,N,
39,,Big Feet to Fill: The Third Group,Toussaint,Secondary,On the north bank of the stream to the north of Castel Ravello Vineyard,0,Blood and Wine,N,
40,,"Gwent: Never Fear, Skellige's Here",Toussaint,Secondary,Defeat the innkeeper at Cockatrice Inn,0,Blood and Wine,N,
41,,Knight for Hire,Toussaint,Secondary,Notice Board: Cockatrice Inn,0,Blood and Wine,N,
42,,No Place Like Home,Toussaint,Secondary,During The Beast of Toussaint,0,Blood and Wine,N,
43,,There Can Be Only One,Toussaint,Secondary,Notice Board: The Gran'place,0,Blood and Wine,N,
44,,Contract: Devil by the Well,White Orchard,Witcher Contract,"Notice Board: Woesong. Alternatively, Odolan, in western cabin in Woesong village.",2,Base Game,N,
45,,Dirty Funds,White Orchard,Treasure Hunt,"Bandit camp overrun with wolves, east by northeast of Mill",2,Base Game,N,
46,49,Imperial Audience,Vizima,Main,Main Quest 5: After The Incident at White Orchard,2,Base Game,N,
47,,On Death's Bed,White Orchard,Secondary,Tomira the herbalist. Due west of Woesong village,2,Base Game,N,
48,,The Dwarven Document Dilemma,Novigrad,Secondary,West end of bridge connecting Farcorners to Seven Cats Inn.,2,Base Game,N,
49,52,The Incident at White Orchard,White Orchard,Main,Main Quest 4: After The Beast of White Orchard,2,Base Game,N,
50,,Deserter Gold,White Orchard,Treasure Hunt,"Camp with telescope. NE of Mill, NW of Cackler Bridge",3,Base Game,N,
51,,Funeral Pyres,Velen,Secondary,"Priest of Eternal Fire, along the road leading west from Mulbrydale",3,Base Game,N,"""I don't take bribes"" = 200 crowns. ""Agreed"" = 60 crowns."
52,24,The Beast of White Orchard,White Orchard,Main,Main Quest 3: During Lilac and Gooseberries,3,Base Game,N,
53,,An Unfortunate Turn Of Events,Velen,Treasure Hunt,River southeast of Mulbrydale. Just east of a bridge across the river. South from Devil's Pit,4,Base Game,N,
54,,Freya Be Praised!,Skellige,Secondary,"There is a lake south of Blandare. Follow the road that runs along its north bank, and find the wagon attacked by drowners.",4,Base Game,N,
55,,Queen Zuleyka's Treasure,Velen,Treasure Hunt,"Coast of Wrecks, west coast between Midcopse and Hangman's Alley",4,Base Game,N,
56,,Sunken Chest,Velen,Treasure Hunt,Small island south of Fyke Isle,4,Base Game,N,
57,,Sunken Treasure,Velen,Treasure Hunt,Northwest of Hangman's Alley,4,Base Game,N,
58,,Temerian Valuables,White Orchard,Treasure Hunt,Body on shore beside bridge west of Mill. Dive and open the chest.,4,Base Game,N,
59,,A Dog's Life,Velen,Secondary,"Take the road east out of Oreton, wolves are attacking a dog. Save the dog to start the quest.",5,Base Game,Y,
60,,Ciri's Room,Velen,Secondary,Enter the room with the stash in Crow's Perch castle,5,Base Game,Y,
61,77,A Princess in Distress,Velen,Main,"Main Quest 15: Pellar's Hut, during Family Matters",5,Base Game,N,
62,79,Ciri's Story: Fleeing the Bog,Velen,Main,Main Quest 16: During Ladies of the Wood,5,Base Game,N,
63,77,Ciri's Story: Out of the Shadows,Velen,Main,Main Quest 18: After Family Matters,5,Base Game,N,
64,75,Ciri's Story: The King of the Wolves,Velen,Main,"Main Quest 12: After ""Bloody Baron""",5,Base Game,N,
65,77,Ciri's Story: The Race,Velen,Main,Main Quest 18: During Family Matters,5,Base Game,N,
66,67,Hunting a Witch,Velen,Main,Main Quest 10: After The Nilfgaardian Connection,5,Base Game,N,
67,46,The Nilfgaardian Connection,Velen,Main,Main Quest 6: After Imperial Audience,5,Base Game,N,
68,,The Whispering Hillock,Velen,Secondary,During Ladies of The Wood,5,Base Game,N,
69,,A Favor For a Friend,Velen,Secondary,After A Towerful of Mice,6,Base Game,Y,
70,,A Towerful of Mice,Velen,Secondary,After An Invitation from Keira Metz,6,Base Game,Y,
71,,An Invitation from Keira Metz,Velen,Secondary,Given after completion of Magic Lamp and escaping the Mysterious Elf's hideout.,6,Base Game,Y,
72,,Ghosts of the Past,Velen,Secondary,During The Fall of The House Reardon,6,Base Game,Y,"Missable, depending on your choices in Witcher 2"
73,,Magic Lamp,Velen,Secondary,During Wandering in the Dark,6,Base Game,Y,Tell Keira you'll help her at end of Wandering in the Dark
74,,The Fall of the House of Reardon,Velen,Secondary,Notice Board: Lindenvale,6,Base Game,Y,
75,67,Bloody Baron,Velen,Main,Main Quest 11: After The Nilfgaardian Connection,6,Base Game,N,
76,,Contract: Woodland Beast,Velen,Witcher Contract,Notice Board: Oxenfurt,6,Base Game,N,
77,64,Family Matters,Velen,Main,"Main Quest 13: After ""Ciri's Story: The King of the Wolves""",6,Base Game,N,
78,,"Hey, You Wanna Look at my Stuff?",Novigrad,Secondary,Near the northern docks,6,Base Game,N,
79,81,Ladies of the Wood,Velen,Main,Main Quest 17: During Wandering in the Dark,6,Base Game,N,
80,,Scavenger Hunt: Viper School Gear,White Orchard,Treasure Hunt,Inside the sepulcher in the cemetery north of the Mill.,6,Base Game,N,
81,66,Wandering in the Dark,Velen,Main,Main Quest 14: After Hunting a Witch,6,Base Game,N,
82,,Haunted House,Novigrad,Secondary,Notice Board: Hierarch Square. Must have completed Novigrad Dreaming and made the deal with Sarah,7,Base Game,Y,
83,,A Greedy God,Velen,Secondary,"Ruins south of Wastrel Manor, west of Oreton",7,Base Game,N,
84,,Contract: Patrol Gone Missing,Velen,Witcher Contract,Notice Board: Nilfgaardian Arm Group 'Center' Camp,7,Base Game,N,
85,,Forefather's Eve,Velen,Secondary,"After A Princess in Distress, the Pellar will approach you at Crow's Perch castle and request your help.",7,Base Game,N,
86,,Lynch Mob,Velen,Secondary,Hangman's Alley,7,Base Game,N,
87,109,Novigrad Dreaming,Novigrad,Main,Main Quest 20: After Pyres of Novigrad,7,Base Game,N,
88,,Thou Shalt Not Pass,Novigrad,Secondary,Talk to the Redanian guardsmen at the Pontar river bridge. Can be done at Oxenfurt bridge or northwestern bridge.,7,Base Game,N,
89,,Wild at Heart,Velen,Secondary,Notice Board: Mulbrydale,7,Base Game,N,
90,,For the Advancement of Learning,Velen,Secondary,After A Favor for a Friend,8,Base Game,Y,
91,,Hidden Messages Of The Nilfgaardian Kind,Novigrad,Secondary,"Visit a cobbled street in The Bits, northeast of the Kingfisher Inn. There you will see two shady individuals fussing about a particular patch of land close to a wooden deck. When they walk off, use your Witcher senses to find a loose brick (somewhere near barrels). Take the note they stashed there.",8,Base Game,Y,
92,,Contract: Shrieker,Velen,Witcher Contract,Notice Board: Crow's Perch,8,Base Game,N,
93,,Novigrad Hospitality,Novigrad,Secondary,You meet the bards sitting at the campfire - on a road - west of Yantra (to the north outside of Novigrad).,8,Base Game,N,
94,,Honor Among Thieves,Novigrad,Secondary,"During The Gangs of Novigrad, halfling in the casino",9,Base Game,Y,
95,,The Gangs of Novigrad,Novigrad,Secondary,During Get Junior,9,Base Game,Y,
96,135,A Favor For Radovid,Novigrad,Main,After Get Junior,9,Base Game,N,
97,,Bitter Harvest,Velen,Secondary,"West of bridge across Pontar. Given if you continue objective from ""Fake Papers,"" and ask what the brother needs.",9,Base Game,N,Protect the scavengers. Fight aggressively to keep ghouls off the NPCs
98,135,Ciri's Story: Visiting Junior,Novigrad,Main,Main Quest 24: After Get Junior,9,Base Game,N,
99,,Last Rites,Velen,Secondary,North of Blackbough. Woman near the bridge. Can only be found at night between 0:00-6:00. (And use Keira's lantern during visit on cemetary). Possibly only after completing Defender of the Faith,9,Base Game,N,
100,,Of Dairy and Darkness,Novigrad,Secondary,"Buy the quest items (Lizard Figurine) from the merchant owning a shop next to notice board in Gildorf, near Passiflora",9,Base Game,N,
101,,Return to Crookback Bog,Velen,Secondary,"After Family Matters, tell the Baron you will help him",9,Base Game,N,
102,,The Dead Have No Defense,Velen,Treasure Hunt,"On the coast, due south of Duen Hen",9,Base Game,N,
103,,Contract: Jenny o' the Woods,Velen,Witcher Contract,Notice Board: Midcopse,10,Base Game,N,
104,,Contract: The Merry Widow,Velen,Witcher Contract,Notice Board: Lindenvale,10,Base Game,N,
105,,Death by Fire,Velen,Secondary,On the road between Codgers' Quarry and Border Post,10,Base Game,N,
106,,Defender of the Faith,Velen,Secondary,Peasant woman along road between Crow's Perch and Blackbough,10,Base Game,N,
107,,Love's Cruel Snares,Velen,Secondary,"In a field southeast of Midcopse, you’ll find a weeping girl. To take this quest, you must first eliminate the bandits in the Abandoned Site",10,Base Game,N,
108,,Not Only Eagles Dare,Skellige,Secondary,Island at mouth of Svorlag Bay,10,Base Game,N,
109,67,Pyres of Novigrad,Novigrad,Main,Main Quest 8: During The Nilfgaardian Connection,10,Base Game,N,
110,,Rough Neighborhood,Novigrad,Secondary,"In Oxenfurt, along the curved road between Oxenfurt Harbor and Western Gate signposts. Near the barber, a few mercenaries are harassing a woman. Talk to them.",10,Base Game,N,
111,,Witcher Wannabe,Velen,Secondary,"Lindenvale, (return there later than 5 days after completing 'The Merry Widow' contract there).",10,Base Game,N,
112,,Fool's Gold,Velen,Secondary,"Village of Lurtch, east of Lindenvale",10,Free DLC,N,
113,,A Barnful Of Trouble,Novigrad,Secondary,"Carsten, a small village south of the Wheat Fields signpost",11,Base Game,Y,
114,,Following the Thread,Multiple,Secondary,Notice Board: Hierarch Square,11,Base Game,Y,
115,,"Novigrad, Closed City",Novigrad,Secondary,"After A Matter of Life and Death. Talk to a woman named Lussi - on the bridge to Temple Isle, OR man named Wallther running from witch hunters west of putrid grove",11,Base Game,Y,
116,,"Novigrad, Closed City II",Novigrad,Secondary,After A Matter of Life and Death. Talk to man marked with Exclamation mark - on the waterway - north of the docks (on northern side) - near the Blacksmith,11,Base Game,Y,
117,87,Broken Flowers,Novigrad,Main,Main Quest 21: After Novigrad Dreaming,11,Base Game,N,
118,142,Ciri's Story: Breakneck Speed,Novigrad,Main,Main Quest 27: After A Poet Under Pressure,11,Base Game,N,
119,,Fists of Fury: Champion Of Champions,Skellige,Secondary,Hov on Spikeroog,11,Base Game,N,"Only after completing rest of Fists of Fury - in Velen, Novigrad, Skellige. And complete Master of the Arena on Skellige."
120,,Fists of Fury: Velen,Velen,Secondary,Notice Board: Crow's Perch,11,Base Game,N,
121,,Scavenger Hunt: Griffin School Gear,Velen,Treasure Hunt,Purchase and read any of the following four maps from Edwin Greloff,11,Base Game,N,Basic. Gear requires level 11.
122,135,The Play's the Thing,Novigrad,Main,Main Quest 25: After Get Junior,11,Base Game,N,
123,,A Dangerous Game,Novigrad,Secondary,"Rosemary and Thyme, after A Poet Under Pressure",12,Base Game,Y,
124,,A Final Kindness,Novigrad,Secondary,After Bald Mountain. (After Count Reuven's Treasure and after For the Advancement of Learning.) Only if you allowed Keira to go with the documents to Radovid. Start in tavern Cameleon in Novigrad - or on Market Square in Novigrad when meeting Triss at midnight.,12,Base Game,Y,
125,,A Matter of Life and Death,Novigrad,Secondary,During Count Reuven's Treasure,12,Base Game,Y,Required to romance Triss
126,,An Eye for an Eye,Novigrad,Secondary,"During Get Junior. (If Roche is not there - and A Deadly Plot is active, go meet with Dijkstra at Passiflora - then Roche will appear)",12,Base Game,Y,
127,,Redania's Most Wanted,Novigrad,Secondary,After A Favor for Radovid,12,Base Game,Y,
128,,A Hallowed Horn,Skellige,Secondary,Notice Board: Kaer Muire,12,Base Game,N,
129,,A Walk on the Waterfront,Novigrad,Secondary,"As you walk through the Novigrad's waterfront, Ginter de Lavirac will appear, being harassed by bandits.",12,Base Game,N,
130,,Blood Ties,Velen,Secondary,Nilfgaardian Army Group 'Center' Camp,12,Base Game,N,
131,,Contract: Swamp Thing,Velen,Witcher Contract,Notice Board: Downwarren,12,Base Game,N,
132,135,Count Reuven's Treasure,Novigrad,Main,Main Quest 23: During Get Junior,12,Base Game,N,
133,,Fencing Lessons,Novigrad,Secondary,"Var Attre Residence, after Broken Flowers. Must agree to give Rosa additional lessons.",12,Base Game,N,
134,,Flesh For Sale,Skellige,Secondary,Faroe island. Trottham village. WARNING: Do it before starting Following the Thread in Novigrad,12,Base Game,N,
135,117,Get Junior,Novigrad,Main,Main Quest 22: After Broken Flowers,12,Base Game,N,
136,,Nilfgaardian Treasure,Skellige,Treasure Hunt,Undiscovered Location southeast of Urialla Isle - search for a corpse.,12,Base Game,N,
137,,Only Eagles Dare,Skellige,Treasure Hunt,Undiscovered Location Southeast of Svorlag - on a small jetty in the bay - search for a corpse.,12,Base Game,N,
138,,Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 2,Skellige,Treasure Hunt,"Purchase ""Ibrahim Savi's Second Map"" from the armorer at Kaer Trolde Fortress",12,Base Game,N,Enhanced. Gear requires level 25.
139,,Spooked Mare,Novigrad,Secondary,"Southeast of Novigrad Gate. Single cottage east of Oxenfurt city, nearby very small pond.",12,Base Game,N,
140,,The Things Men Do For Coin...,Velen,Treasure Hunt,Island east from Border Post,12,Base Game,N,
141,,The Truth is in the Stars,Velen,Secondary,"Notice Board: Oxenfurt, or seer in Benek",12,Base Game,N,Same seer that you play during Gwent: Velen Players
142,122,A Poet Under Pressure,Novigrad,Main,Main Quest 26: After The Play's The Thing,13,Base Game,N,
143,,A Tome Entombed,Novigrad,Secondary,"Novigrad sewers - near Tretogor Gate. Enter the tower near the gate, go down into the sewers. https://www.youtube.com/watch?v=pWulC9IZ04Q",13,Base Game,N,
144,,Black Pearl,Multiple,Secondary,"Nidas, outside the Golden Sturgeon at Harborside in Novigrad",13,Base Game,N,
145,,Coast Of Wrecks,Velen,Treasure Hunt,treasure hunt south of Widows' Grotto,13,Base Game,N,
146,,Contract: An Elusive Thief,Novigrad,Witcher Contract,Notice Board: Hierarch Square,13,Base Game,N,
147,188,Echoes of the Past,Skellige,Main,Main Quest 29: After The King is Dead - Long Live The King,13,Base Game,N,
148,,Free Spirit,Skellige,Secondary,Snidhall Isle north of Ard Skellig - small island with two question marks north of main Skellige isle,13,Base Game,N,Also home to the level 40 ArchGriffen!
149,,"From A Land Far, Far Away",Skellige,Secondary,Tiny island due east of Redgill (on eastern Ard Skellige),13,Base Game,N,
150,,Family Fortune,Skellige,Treasure Hunt,Ruined inn south east of Fyresdale on Ard Skellige,13,Base Game,N,
151,,Pearls of the Coast,Skellige,Treasure Hunt,Hidden treasure landmark on Eldberg Lighthouse peninsula. Center landmass.,13,Base Game,N,
152,,Precious Haul,Skellige,Treasure Hunt,Ship wreckage southeast of bridge to Tor Gvalch'ca (tall spooky tower). Near northwestern tip of Undvik island,13,Base Game,N,
153,,Shortcut,Skellige,Treasure Hunt,Northern shore of Undvik lake,13,Base Game,N,
154,,The Volunteer,Novigrad,Secondary,Notice Board: Oxenfurt,13,Base Game,N,
155,,Warehouse of Woe,Novigrad,Secondary,"Novigrad Docks, south-west part.",13,Base Game,N,
156,,Ironside's Treasure,Skellige,Treasure Hunt,Small group of islands southeast of the Ruined Inn. Head there to find a skeleton.,13,Base Game,N,
157,,A Deadly Plot,Novigrad,Secondary,After Now or Never,14,Base Game,Y,
158,,Now or Never,Novigrad,Secondary,After A Matter of Life and Death.,14,Base Game,Y,"First complete Gwent: Playing Innkeeps, Nobleman/Soldier Statuette, and Redania's Most Wanted. Equip 1 point in axii delusion."
159,,Cabaret,Novigrad,Secondary,After A Poet Under Pressure,14,Base Game,N,
160,,Contract: The Apiarian Phantom,Novigrad,Witcher Contract,Notice Board: Yantra,14,Base Game,N,
161,,Inheritance,Skellige,Treasure Hunt,"Southeast of Rannvaig is an Undiscovered Location, a corpse marked as a Hidden Treasure.",14,Base Game,N,
162,,Master of the Arena,Skellige,Secondary,Go to the village of Hov on Spikeroog and speak to the two warriors in the wooden sentry tower overlooking the ocean. ,14,Base Game,N,
163,180,Nameless,Skellige,Main,Main Quest 31: After Missing Persons,14,Base Game,N,
164,,Out on Your Arse!,Novigrad,Secondary,Crippled Kate's,14,Base Game,N,
165,,Stranger in a Strange Land,Skellige,Secondary,After completing Contract: The Phantom of Eldberg,14,Base Game,N,
166,163,The Calm Before the Storm,Skellige,Main,Main Quest 32: After Nameless,14,Base Game,N,
167,,The Cave of Dreams,Skellige,Secondary,After Stranger in a Strange Land,14,Base Game,N,
168,,The Nobleman Statuette,Novigrad,Secondary,"Buy the quest items (Jade Figurine) from the merchant owning a shop next to notice board in Gildorf, near Passiflora",14,Base Game,N,
169,,The Price of Honor,Skellige,Secondary,Speak to Timmon by the Harviken docks,14,Base Game,N,
170,,The Soldier Statuette,Novigrad,Secondary,"During A Dangerous Game, in Caesar's hidden attic",14,Base Game,N,
171,,Scavenger Hunt: Wolf School Gear,Kaer Morhen,Treasure Hunt,Purchase and read any of the following six “Notes on Parchment by Hieronymus on Elgar the Witcher”,14,Free DLC,N,Basic. Gear requires level 14.
172,,A Bard's Beloved,Skellige,Secondary,Northeast of the Palisade,15,Base Game,N,
173,,An Unpaid Debt,Skellige,Secondary,After Stranger in a Strange Land. Go to Kaer Trolde in after accepting Simun's help in prison escape during Stranger in a Strange Land,15,Base Game,N,
174,,Armed Assault,Skellige,Secondary,Lone cottage east-south-east of Rannvaig village,15,Base Game,N,
175,,Contract: Deadly Delights,Novigrad,Witcher Contract,"Notice Board: Harborside, next to Golden Sturgeon inn",15,Base Game,N,
176,,Don't Play with the Gods,Velen,Treasure Hunt,"Travel north from Byways, south-east from Duen Hen, find Elven ruins - near another tresure-hunt marker and place of power.",15,Base Game,N,
177,,For Fame And Glory,Skellige,Secondary,"Two warriors west of Larvik, but south of the road leading to the town.",15,Base Game,N,
178,,In Wolf's Clothing,Skellige,Secondary,During Missing Persons,15,Base Game,N,
179,,Little Red,Novigrad,Secondary,Yantra village,15,Base Game,N,
180,147,Missing Persons,Skellige,Main,Main Quest 30: After Echoes of the Past,15,Base Game,N,
181,,The Family Blade,Skellige,Secondary,Notice Board: Kaer Trolde Harbor,15,Base Game,N,
182,,The Last Wish,Skellige,Secondary,After In Ciri's Footsteps. After Missing Persons and after Nameless. In Freya's gardens.,15,Base Game,N,Required for Yennefer romance.
183,,Carnal Sins,Novigrad,Secondary,After Cabaret,16,Base Game,Y,
184,,Contract: Strange Beast,Skellige,Witcher Contract,Notice Board: Larvik,16,Base Game,N,
185,,Contract: The White Lady,Novigrad,Witcher Contract,Notice Board: Farcorners. Between Portside Gate and Glory Gate,16,Base Game,N,
186,67,Destination: Skellige,Novigrad,Main,Main Quest 9: During The Nilfgaardian Connection,16,Base Game,N,
187,,Scavenger Hunt: Bear School Gear Upgrade Diagrams - Part 1,Skellige,Treasure Hunt,"Purchase ""Ibrahim Savi's First Map"" from the armorer at Kaer Trolde Fortress",16,Base Game,N,"Enhanced. Gear requires level 25. You have to kill the Grossbarts to get the armor diagram. Go to Blandare village and accept quest ""The Sad Tale of the Grossbart Brothers"" first."
188,188,The King is Dead - Long Live the King,Skellige,Main,Main Quest 28: After Destination: Skellige,16,Base Game,N,
189,,The Path of Warriors,Skellige,Secondary,"Go to Urialla Harbor on An Skellig and listen in on a conversation between two women. They are talking about something called the Trial of the Path. Talk to them to learn more about it. Apparently, there is a man called Old Gunnar who can tell you more about it; you can find him at the foot of Mount Aardeklove.",16,Base Game,N,
190,,Contract: Waylaid Transport,Skellige,Witcher Contract,"Notice Board in Larvik village, isle of Hindarsfjall",16,Base Game,N,
191,,Possession,Skellige,Secondary,Talk to Crach at the end of The King is Dead – Long Live the King,17,Base Game,Y,
192,,The Lord of Undvik,Skellige,Secondary,Talk to Crach at the end of The King is Dead - Long Live the King,17,Base Game,Y,
193,,Contract: The Phantom of Eldberg,Skellige,Witcher Contract,"Notice Board: Arinbjorn, or small house just south of Eldberg Lighthouse",17,Base Game,N,
194,,Scavenger Hunt: Cat School Gear,Novigrad,Treasure Hunt,Purchase and read any of the following four maps from Adalbert Kermith,17,Base Game,N,Basic. Gear requires level 17.
195,,A Costly Mistake,Velen,Treasure Hunt,"Coastline west of Hangman's Alley, wreck of small boat on shore",18,Base Game,Y,
196,,Coronation,Skellige,Secondary,After King's Gambit,18,Base Game,Y,
197,,King's Gambit,Skellige,Secondary,After completing Possession and The Lord of Undvik,18,Base Game,Y,
198,,Blood Gold,Velen,Treasure Hunt,Isles northwest of Oxenfurt,18,Base Game,N,
199,,Contract: Muire D'yaeblen,Skellige,Witcher Contract,Notice Board: Kaer Trolde Harbor,18,Base Game,N,
200,,Crime And Punishment,Skellige,Secondary,"Fast travel to Ancient Crypt, then sail east along the coast. After completing the task go to Rogne village, attend the funeral, talk to the girl.",18,Base Game,N,
201,,Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 1,Velen,Treasure Hunt,"Purchase ""Edwin Greloff's First Map"" from the Midcopse blacksmith",18,Base Game,N,Enhanced. Gear requires level 18.
202,,Scavenger Hunt: Griffin School Gear Upgrade Diagrams - Part 2,Velen,Treasure Hunt,"Purchase ""Edwin Greloff's Second Map"" from the Midcopse blacksmith",18,Base Game,N,Enhanced. Gear requires level 18.
203,,Tough Luck,Velen,Treasure Hunt,South east from Devil's Pit signpost. Read the letter found near destroyed wagon. Get valuables from the wagon.,18,Base Game,N,
204,,Contract: Here Comes the Groom,Skellige,Witcher Contract,Notice Board: Svorlag,19,Base Game,N,
205,,Iron Maiden,Skellige,Secondary,Harviken. Special reward with a girl.,19,Base Game,N,
206,208,No Place Like Home,Kaer Morhen,Main,"Main Quest 37: After To Bait a Forktail, The Final Trial and Disturbance",19,Base Game,N,
207,209,The Final Trial,Kaer Morhen,Main,Main Quest 36: During Ugly Baby,19,Base Game,N,
208,209,To Bait a Forktail...,Kaer Morhen,Main,Main Quest 34: During Ugly Baby,19,Base Game,N,
209,22,Ugly Baby,Kaer Morhen,Main,Main Quest 33: After In Ciri's Footsteps,19,Base Game,N,
210,206,"Va Fail, Elaine",Kaer Morhen,Main,Main Quest 38: After No Place Like Home,19,Base Game,N,
211,,A Feast for Crows,Novigrad,Secondary,"After A Poet Under Pressure. Near The Rosemary and Thyme/Cameleon, north of the Gate of the Hierarch. https://www.youtube.com/watch?v=FlCL1XT4SqA",20,Base Game,Y,
212,,Battlefield Loot,Novigrad,Treasure Hunt,"Go south from Eternal Fire Chapel, cross the river to find swampy battlefield",20,Base Game,N,
213,,Contract: Mysterious Tracks,Velen,Witcher Contract,Notice Board: Lindenvale,20,Base Game,N,
214,,Scavenger Hunt: Bear School Gear,Skellige,Treasure Hunt,Purchase and read any of the following four maps from Ibrahim Savi,20,Base Game,N,Basic. Gear requires level 20.
215,,Hard Times,Skellige,Secondary,"Ard Skellig - crossroad southof Miner’s Camp, north-east of Blandare village. Broken cart and cyclope running around. Bring letter to blacksmith Yanne in Kaer Trolde (you might need to meditace to be able to talk to proper blacksmith)",21,Base Game,N,
216,,Scavenger Hunt: Wolf School Gear Upgrade Diagrams - Part 1,Novigrad,Treasure Hunt,Purchase Hieronymus' Notes from Hattori in Novigrad or Hierarch Square blacksmith,21,Free DLC,N,Enhanced. Gear requires level 21.
