ID,Deck,Name,Territory,Strength,Combat,Abilities,Type,Acquisition,Source,DLC
30,Monsters,Ice Giant,Skellige,5,Siege,-,Unit,Buy,Svorlag Inn,
31,Monsters,Imlerith,-,10,Melee,Immune to Special,Hero,Win,Random,
32,Monsters,Kayran,-,8,Ranged,"Morale, Immune to Special",Hero,Win,Random,
33,Monsters,Leshen,Skellige,10,Ranged,Immune to Special,Hero,Win,Random,
34,Monsters,Nekker 1/3,Novigrad,2,Melee,Muster,Unit,Secondary Quest,Defeat Lambert. Also drop from Hammond during Following the Thread,
35,Monsters,Nekker 2/3,Skellige,2,Melee,Muster,Unit,Buy,"Harviken Tavern, Faroe",
36,Monsters,Nekker 3/3,-,2,Melee,Muster,Unit,Win,Random,
37,Monsters,Plague Maiden,-,5,Melee,-,Unit,Win,Random,
38,Monsters,Toad,Novigrad,7,Ranged,Scorch ranged if +10,Unit,Win,"Defeat Olgierd von Everec in Alchemy Inn, Oxenfurt",Hearts of Stone
39,Monsters,Vampire Bruxa,Novigrad,4,Melee,Muster,Unit,Secondary Quest,Tournament during A Matter of Life and Death,
40,Monsters,Vampire Ekimmara,Skellige,4,Melee,Muster,Unit,Buy,Svorlag Inn,
41,Monsters,Vampire Fleder,Skellige,4,Melee,Muster,Unit,Buy,"Harviken Tavern, Faroe",
42,Monsters,Vampire Garkain,-,4,Melee,Muster,Unit,Win,Random,
43,Monsters,Vampire Katakan,Skellige,5,Melee,Muster,Unit,Gwent Quest,"Jarl Madman Lugos, Kaer Muire",
44,Monsters,Werewolf,Skellige,5,Melee,-,Unit,Buy,Urialla Harbor Inn,
45,Monsters,Wyvern,-,2,Ranged,-,Unit,Win,Random,
46,Neutral,Avallac'h,Skellige,0,Melee,"Spy, Immune to Special",Hero,Gwent Quest,"Gremita, Gedyneith, Ard Skellig",
47,Neutral,Biting Frost 1/3,-,-,Weather,Biting Frost,Special,Base Deck,Base Deck,
48,Neutral,Biting Frost 2/3,-,-,Weather,Biting Frost,Special,Base Deck,Base Deck,
49,Neutral,Biting Frost 3/3,-,-,Weather,Biting Frost,Special,Win,Random,
50,Neutral,Cirilla Fiona Elen Rianno,Novigrad,15,Melee,Immune to Special,Hero,Gwent Quest,"Scoia'tael camp, Novigrad forest",
51,Neutral,Clear Weather 1/2,-,-,Weather,Clear Weather,Special,Base Deck,Base Deck,
52,Neutral,Clear Weather 2/2,-,-,Weather,Clear Weather,Special,Win,Random,
53,Neutral,Commander's Horn 1/3,Velen,-,Special,Double Row Strength,Special,Buy,"Innkeeper, Crossroads Inn",
54,Neutral,Commander's Horn 2/3,Novigrad,-,Special,Double Row Strength,Special,Buy,"Marquise Serenity, Passiflora",
55,Neutral,Commander's Horn 3/3,Novigrad,-,Special,Double Row Strength,Special,Buy,"Stjepan, Alchemy Inn",
56,Neutral,Cow,Novigrad,0,Ranged,Summon Avenger,Unit,Find,"In Brunwich village barn, upstairs in a chest",Hearts of Stone
57,Neutral,Dandelion,Novigrad,2,Melee,Commander's Horn,Unit,Secondary Quest,Tournament during A Matter of Life and Death,
58,Neutral,Decoy 1/3,White Orchard,-,Special,Swap a Card,Special,Buy,White Orchard Tavern,
59,Neutral,Decoy 2/3,Velen,-,Special,Swap a Card,Special,Buy,"Quartermaster, Crow's Perch",
60,Neutral,Decoy 3/3,Novigrad,-,Special,Swap a Card,Special,Buy,"Trader, Seven Cats Inn",
61,Neutral,Emiel Regis Rohellec Terzieff,-,5,Melee,-,Unit,Win,Random,
62,Neutral,Gaunter O'Dimm,Novigrad,2,Siege,Muster,Unit,Win,Defeat Hilbert during in the auction house during Open Sesame!,Hearts of Stone
63,Neutral,Gaunter O'Dimm: Darkness,Novigrad,4,Ranged,Muster,Unit,Buy,"Ofieri Merchant, Upper Mill",Hearts of Stone
64,Neutral,Gaunter O'Dimm: Darkness,Novigrad,4,Ranged,Muster,Unit,Buy,Trader at camp northwest of Carsten,Hearts of Stone
65,Neutral,Gaunter O'Dimm: Darkness,Novigrad,4,Ranged,Muster,Unit,Buy,Trader at camp northwest of Carsten,Hearts of Stone
66,Neutral,Geralt of Rivia,Novigrad,15,Melee,Immune to Special,Hero,Gwent Quest,"Thaler, Seven Cats Inn",
67,Neutral,Impenetrable Fog 1/3,-,-,Weather,Impenetrable Fog,Special,Base Deck,Base Deck,
68,Neutral,Impenetrable Fog 2/3,-,-,Weather,Impenetrable Fog,Special,Base Deck,Base Deck,
69,Neutral,Impenetrable Fog 3/3,-,-,Weather,Impenetrable Fog,Special,Win,Random,
70,Neutral,Olgierd von Everec,Novigrad,6,Mel./Ran.,Morale Boost,Unit,Win,Defeat Shani in her home in Oxenfurt,Hearts of Stone
71,Neutral,Scorch 1/3,Novigrad,-,Special,Destroys best non-hero,Special,Buy,"Innkeeper, Cunny of the Goose",
72,Neutral,Scorch 2/3,Skellige,-,Special,Destroys best non-hero,Special,Buy,"New Port Inn, Kaer Trolde",
73,Neutral,Scorch 3/3,Skellige,-,Special,Destroys best non-hero,Special,Buy,"Inkeeper, Urialla Harbor",
74,Neutral,Torrential Rain 1/2,-,-,Weather,Torrential Rain,Special,Base Deck,Base Deck,
75,Neutral,Torrential Rain 2/2,-,-,Weather,Torrential Rain,Special,Win,Random,
76,Neutral,Triss Merigold,Novigrad,7,Melee,Immune to Special,Hero,Gwent Quest,Lambert during Gwent: Old Pals,
77,Neutral,Vesemir,Novigrad,6,Melee,-,Unit,Gwent Quest,"Vivaldi Bank, Vivaldi",
78,Neutral,Villentretenmerth,-,7,Melee,Destroys strongest melee,Unit,Win,Random,
79,Neutral,Yennefer of Vengerburg,Novigrad,7,Ranged,"Medic, Immune to Special",Hero,Gwent Quest,"Stjepan, Alchemy Inn",
80,Neutral,Zoltan Chivay,White Orchard,5,Melee,-,Unit,Win,"Scholar, White Orchard Tavern",
81,Nilfgaard,Albrich,Velen,2,Ranged,-,Unit,Buy,"Trader, Crow's Perch",
82,Nilfgaard,Assire var Anahid,Velen,6,Ranged,-,Unit,Win,Random,
83,Nilfgaard,Black Infantry Archer 1/2,Velen,10,Ranged,-,Unit,Buy,"Trader, Claywich Village. Rescue First.",
84,Nilfgaard,Black Infantry Archer 2/2,Velen,10,Ranged,-,Unit,Buy,Lindenvale,
85,Nilfgaard,Cahir Mawr Dyffryn aep Ceallach,-,6,Melee,-,Unit,Win,Random,
86,Nilfgaard,Cynthia,Velen,4,Ranged,-,Unit,Buy,"Quartermaster, Crow's Perch",
87,Nilfgaard,Emhyr var Emreis the Relentless,Novigrad,-,Leader,Draw from Opponent Discard,Leader,Secondary Quest,"Secondary Quest, High Stakes",
88,Nilfgaard,Emhyr var Emreis the White Flame,Skellige,-,Leader,Cancel Leader,Leader,Gwent Quest,Skellige Style,
89,Nilfgaard,"Emhyr var Emreis, Emperor of Nilfgaard",Velen,-,Leader,Spy 3 Enemy Cards,Leader,Buy,"Innkeeper, Crossroads Inn",
90,Nilfgaard,"Emhyr var Emreis, His Imperial Majesty",-,-,Leader,Torrential Rain,Leader,Base Deck,Base Deck,
91,Nilfgaard,"Emhyr var Emreis, Invader of the North",Novigrad,-,Leader,All medics become random,Leader,Buy,Trader at camp northwest of Carsten,Hearts of Stone
92,Nilfgaard,Etolian Auxiliary Archer 1/2,Velen,1,Ranged,Medic,Unit,Buy,Lindenvale,
93,Nilfgaard,Etolian Auxiliary Archer 2/2,Velen,1,Ranged,Medic,Unit,Buy,"Trader, Claywich Village. Rescue First.",
94,Nilfgaard,Fringilla Vigo,Novigrad,6,Ranged,-,Unit,Secondary Quest,Caesar Bilzen's Home. A Dangerous Game,
95,Nilfgaard,Heavy Zerrikanian Fire Scorpion,Velen,10,Siege,-,Unit,Buy,Lindenvale,
96,Nilfgaard,Impera Brigade Guard 1/4,Velen,3,Melee,Tight Bond,Unit,Buy,"Trader, Crow's Perch",
97,Nilfgaard,Impera Brigade Guard 2/4,Velen,3,Melee,Tight Bond,Unit,Buy,"Innkeeper, Crossroads Inn",
98,Nilfgaard,Impera Brigade Guard 3/4,Novigrad,3,Melee,Tight Bond,Unit,Buy,"Trader, Seven Cats Inn",
99,Nilfgaard,Impera Brigade Guard 4/4,Novigrad,3,Melee,Tight Bond,Unit,Buy,"Innkeeper, Cunny of the Goose",
100,Nilfgaard,Letho of Gulet,Velen,10,Melee,Immune to Special,Hero,Gwent Quest,Boatbuilder in Oreton,
101,Nilfgaard,Menno Coehoorn,Velen,10,Melee,Immune to Special,Hero,Gwent Quest,"Innkeeper, Crossroads Inn",
102,Nilfgaard,Morteisen,Velen,3,Melee,-,Unit,Buy,"Shopkeeper, Midcopse",
103,Nilfgaard,Morvran Voorhis,Novigrad,10,Siege,Immune to Special,Hero,Gwent Quest,"Marquise Serenity, Passiflora",
104,Nilfgaard,Nausicaa Cavalry Rider 1/3,Velen,2,Melee,Tight Bond,Unit,Buy,"Quartermaster, Crow's Perch",
105,Nilfgaard,Nausicaa Cavalry Rider 2/3,Velen,2,Melee,Tight Bond,Unit,Buy,"Innkeeper, Crossroads Inn",
106,Nilfgaard,Nausicaa Cavalry Rider 3/3,Velen,2,Melee,Tight Bond,Unit,Buy,"Trader, Crow's Perch",
107,Nilfgaard,Puttkammer,Velen,3,Ranged,-,Unit,Buy,"Trader, Claywich Village. Rescue First.",
108,Nilfgaard,Rainfarn,Velen,4,Melee,-,Unit,Buy,Lindenvale,
109,Nilfgaard,Renuald aep Matsen,-,5,Ranged,-,Unit,Win,Random,
110,Nilfgaard,Rotten Mangonel,-,3,Siege,-,Unit,Win,Random,
111,Nilfgaard,Shilard Fitz-Oesterlen,-,7,Melee,Spy,Unit,Win,Random,
112,Nilfgaard,Siege Engineer,Velen,6,Siege,-,Unit,Buy,"Innkeeper, Crossroads Inn",
113,Nilfgaard,Siege Technician,Novigrad,0,Siege,Medic,Unit,Buy,"Innkeeper, Golden Sturgeon",
114,Nilfgaard,Stefan Skellen,-,9,Melee,Spy,Unit,Win,Random,
115,Nilfgaard,Sweers,Velen,2,Ranged,-,Unit,Buy,"Trader, Claywich Village. Rescue First.",
116,Nilfgaard,Tibor Eggebracht,Novigrad,10,Ranged,Immune to Special,Hero,Gwent Quest,"Olivier, Kingfisher Inn",
117,Nilfgaard,Vanhemar,-,4,Ranged,-,Unit,Win,Random,
118,Nilfgaard,Vattier de Rideaux,-,4,Melee,Spy,Unit,Win,Random,
119,Nilfgaard,Vreemde,-,2,Melee,-,Unit,Win,Random,
120,Nilfgaard,Young Emissary 1/2,Novigrad,5,Melee,Tight Bond,Unit,Buy,"Innkeeper, Cunny of the Goose",
121,Nilfgaard,Young Emissary 2/2,Novigrad,5,Melee,Tight Bond,Unit,Buy,"Trader, Seven Cats Inn",
122,Nilfgaard,Zerrikanian Fire Scorpion,Velen,5,Siege,-,Unit,Buy,"Trader, Crow's Perch",
123,Northern Realms,Ballista 1/2,-,6,Siege,-,Unit,Base Deck,Base Deck,
124,Northern Realms,Ballista 2/2,-,6,Siege,-,Unit,Base Deck,Base Deck,
125,Northern Realms,Blue Stripes Commando 1/3,White Orchard,4,Melee,Tight Bond,Unit,Buy,White Orchard Tavern,
126,Northern Realms,Blue Stripes Commando 2/3,-,4,Melee,Tight Bond,Unit,Base Deck,Base Deck,
127,Northern Realms,Blue Stripes Commando 3/3,-,4,Melee,Tight Bond,Unit,Base Deck,Base Deck,
128,Northern Realms,Catapult 1/2,White Orchard,8,Siege,Tight Bond,Unit,Buy,White Orchard Trader,
129,Northern Realms,Catapult 2/2,Novigrad,8,Siege,Tight Bond,Unit,Buy,"Marquise Serenity, Passiflora",
130,Northern Realms,Crinfrid Reavers Dragon Hunter 1/3,White Orchard,5,Ranged,Tight Bond,Unit,Buy,White Orchard Trader,
131,Northern Realms,Crinfrid Reavers Dragon Hunter 2/3,Velen,5,Ranged,Tight Bond,Unit,Buy,"Trader, Claywich Village. Rescue First.",
132,Northern Realms,Crinfrid Reavers Dragon Hunter 3/3,Velen,5,Ranged,Tight Bond,Unit,Buy,Midcopse,
133,Northern Realms,Dethmold,-,6,Ranged,-,Unit,Base Deck,Base Deck,
134,Northern Realms,Dun Banner Medic,-,5,Siege,Medic,Unit,Base Deck,Base Deck,
135,Northern Realms,Esterad Thyssen,Novigrad,10,Melee,Immune to Special,Hero,Gwent Quest,"Dijkstra, Bathhouse",
136,Northern Realms,Foltest the Siegemaster,Palace of Vizima,-,Leader,Horn on Siege,Leader,Win,Nilfgaardian Nobleman,
137,Northern Realms,Foltest the Steel-Forged,Novigrad,-,Leader,Scorch Siege if +10,Leader,Secondary Quest,High Stakes,
138,Northern Realms,"Foltest, King of Temeria",-,-,Leader,Impenetrable Fog,Leader,Base Deck,Base Deck,
139,Northern Realms,"Foltest, Lord Commander of the North",White Orchard,-,Leader,Clear Weather,Leader,Buy,White Orchard Trader,
140,Northern Realms,"Foltest, Son of Medell",Novigrad,-,Leader,Scorch ranged if +10,Leader,Buy,Trader at camp northwest of Carsten,Hearts of Stone
141,Northern Realms,John Natalis,Novigrad,10,Melee,Immune to Special,Hero,Secondary Quest,"Ravvy, Golden Sturgeon Tavern",
142,Northern Realms,Kaedwani Siege Expert 1/3,-,1,Siege,Morale Boost,Unit,Base Deck,Base Deck,
143,Northern Realms,Kaedwani Siege Expert 2/3,-,1,Siege,Morale Boost,Unit,Base Deck,Base Deck,
144,Northern Realms,Kaedwani Siege Expert 3/3,-,1,Siege,Morale Boost,Unit,Base Deck,Base Deck,
145,Northern Realms,Keira Metz,-,5,Ranged,-,Unit,Base Deck,Base Deck,
146,Northern Realms,Philippa Eilhart,-,10,Ranged,Immune to Special,Hero,Win,Random,
147,Northern Realms,Poor Fucking Infantry 1/3,-,1,Melee,Tight Bond,Unit,Base Deck,Base Deck,
148,Northern Realms,Poor Fucking Infantry 2/3,-,1,Melee,Tight Bond,Unit,Base Deck,Base Deck,
149,Northern Realms,Poor Fucking Infantry 3/3,Velen,1,Melee,Tight Bond,Unit,Buy,Midcopse,
150,Northern Realms,Prince Stennis,-,5,Melee,Spy,Unit,Base Deck,Base Deck,
151,Northern Realms,Redanian Foot Soldier 1/2,-,1,Melee,-,Unit,Base Deck,Base Deck,
152,Northern Realms,Redanian Foot Soldier 2/2,-,1,Melee,-,Unit,Base Deck,Base Deck,
153,Northern Realms,Sabrina Glevissig,-,4,Ranged,-,Unit,Base Deck,Base Deck,
154,Northern Realms,Sheldon Skaggs,-,4,Ranged,-,Unit,Base Deck,Base Deck,
155,Northern Realms,Siege Tower,-,6,Siege,-,Unit,Win,Random,
156,Northern Realms,Siegfried of Denesle,-,5,Melee,-,Unit,Base Deck,Base Deck,
157,Northern Realms,Sigismund Dijkstra,Velen,4,Melee,Spy,Unit,Gwent Quest,"Bloody Baron, Phillip Strenger, Crow's Perch",
158,Northern Realms,Sile de Tansarville,-,5,Ranged,-,Unit,Base Deck,Base Deck,
159,Northern Realms,Thaler,Skellige,1,Siege,Spy,Unit,Buy,Arinbjorn,
160,Northern Realms,Trebuchet 1/2,-,6,Siege,-,Unit,Base Deck,Base Deck,
161,Northern Realms,Trebuchet 2/2,-,6,Siege,-,Unit,Base Deck,Base Deck,
162,Northern Realms,Vernon Roche,Velen,10,Melee,Immune to Special,Hero,Gwent Quest,"Haddy, Midcopse",
163,Northern Realms,Ves,-,5,Melee,-,Unit,Base Deck,Base Deck,
164,Northern Realms,Yarpen Zigrin,-,2,Melee,-,Unit,Base Deck,Base Deck,
165,Scoia'tael,Barclay Els,Novigrad,6,Mel./Ran.,Agile,Unit,Buy,Golden Sturgeon,
166,Scoia'tael,Ciaran aep Easnillian,-,3,Mel./Ran.,Agile,Unit,Win,Random,
167,Scoia'tael,Dennis Cranmer,-,6,Melee,-,Unit,Win,Random,
168,Scoia'tael,Dol Blathanna Archer,Novigrad,4,Ranged,-,Unit,Buy,"Marquise Serenity, Passiflora",
169,Scoia'tael,Dol Blathanna Scout 1/3,-,6,Mel./Ran.,Agile,Unit,Win,Random,
170,Scoia'tael,Dol Blathanna Scout 2/3,-,6,Mel./Ran.,Agile,Unit,Win,Random,
171,Scoia'tael,Dol Blathanna Scout 3/3,Novigrad,6,Mel./Ran.,Agile,Unit,Buy,Golden Sturgeon,
172,Scoia'tael,Dwarven Skirmisher 1/3,-,3,Melee,Muster,Unit,Win,Random,
173,Scoia'tael,Dwarven Skirmisher 2/3,-,3,Melee,Muster,Unit,Win,Random,
174,Scoia'tael,Dwarven Skirmisher 3/3,Novigrad,3,Melee,Muster,Unit,Buy,"Stjepan, Alchemy Inn Oxenfurt",
175,Scoia'tael,Eithne,Novigrad,10,Ranged,Immune to Special,Hero,Gwent Quest,"Zoltan, Rosemary and Thyme",
176,Scoia'tael,Elven Skirmisher 1/3,-,2,Ranged,Muster,Unit,Win,Random,
177,Scoia'tael,Elven Skirmisher 2/3,-,2,Ranged,Muster,Unit,Win,Random,
178,Scoia'tael,Elven Skirmisher 3/3,Skellige,2,Ranged,Muster,Unit,Buy,Urialla Harbor Inn,
179,Scoia'tael,Filavandrel aen Fidhail,-,6,Mel./Ran.,Agile,Unit,Win,Random,
180,Scoia'tael,Francesca Findabair the Beautiful,Novigrad,-,Leader,Horn on Ranged,Leader,Gwent Quest,Big City Players,
181,Scoia'tael,"Francesca Findabair, Daisy of the Valley",Novigrad,-,Leader,Draw Extra Card,Leader,Buy,Cunny of the Goose,
182,Scoia'tael,"Francesca Findabair, Pureblood Elf",-,-,Leader,Biting Frost,Leader,Base Deck,Base Deck,
183,Scoia'tael,"Francesca Findabair, Queen of Dol Blathanna",Novigrad,-,Leader,Scorch Close Combat if +10,Leader,Secondary Quest,High Stakes,
184,Scoia'tael,Havekar Healer 1/3,-,0,Ranged,Medic,Unit,Win,Random,
185,Scoia'tael,Havekar Healer 2/3,Novigrad,0,Ranged,Medic,Unit,Buy,Cunny of the Goose,
186,Scoia'tael,Havekar Healer 3/3,Novigrad,0,Ranged,Medic,Unit,Buy,"Olivier, Kingfisher Inn",
187,Scoia'tael,Havekar Smuggler 1/3,Novigrad,5,Melee,Muster,Unit,Buy,Seven Cats Inn,
188,Scoia'tael,Havekar Smuggler 2/3,-,5,Melee,Muster,Unit,Win,Random,
189,Scoia'tael,Havekar Smuggler 3/3,Novigrad,5,Melee,Muster,Unit,Buy,"Olivier, Kingfisher Inn",
190,Scoia'tael,Ida Emean aep Sivney,-,6,Ranged,-,Unit,Win,Random,
191,Scoia'tael,Iorveth,Skellige,10,Ranged,Immune to Special,Hero,Secondary Quest,"Shock Therapy, Druid after Quest",
192,Scoia'tael,Isengrim Faolitarna,Novigrad,10,Melee,"Morale, Immune to Special",Hero,Secondary Quest,Inside Zed's Home during A Dangerous Game,
193,Scoia'tael,Mahakaman Defender 1/5,Novigrad,5,Melee,-,Unit,Buy,"Olivier, Kingfisher Inn",
194,Scoia'tael,Mahakaman Defender 2/5,Novigrad,5,Melee,-,Unit,Buy,Golden Sturgeon,
195,Scoia'tael,Mahakaman Defender 3/5,Novigrad,5,Melee,-,Unit,Buy,Seven Cats Inn,
196,Scoia'tael,Mahakaman Defender 4/5,Novigrad,5,Melee,-,Unit,Buy,"Stjepan, Alchemy Inn Oxenfurt",
197,Scoia'tael,Mahakaman Defender 5/5,Novigrad,5,Melee,-,Unit,Buy,"Marquise Serenity, Passiflora",
198,Scoia'tael,Milva,Novigrad,10,Ranged,Morale Boost,Unit,Secondary Quest,Tournament during A Matter of Life and Death,
199,Scoia'tael,Riordain,-,1,Ranged,-,Unit,Win,Random,
200,Scoia'tael,Saesenthessis,Novigrad,10,Ranged,Immune to Special,Hero,Gwent Quest,"Vernon Roche, Temerian Resistance Camp",
201,Scoia'tael,Toruviel,-,2,Ranged,-,Unit,Win,Random,
202,Scoia'tael,Vrihedd Brigade Recruit,-,4,Ranged,-,Unit,Win,Random,
203,Scoia'tael,Vrihedd Brigade Veteran 1/2,Novigrad,5,Mel./Ran.,Agile,Unit,Buy,"Stjepan, Alchemy Inn Oxenfurt",
204,Scoia'tael,Vrihedd Brigade Veteran 2/2,Novigrad,5,Mel./Ran.,Agile,Unit,Buy,"Olivier, Kingfisher Inn",
205,Scoia'tael,Yaevinn,Skellige,6,Mel./Ran.,Agile,Unit,Gwent Quest,"Sjusta the Tailor, Kaer Trolde Harbor",
206,Scoia'tael,Schirru,Novigrad,8,Siege,Scorch Siege if +10,Unit,Win,Defeat the trader at the camp northwest of Carsten,Hearts of Stone
207,Skellige,King Bran,Toussaint,-,Leader,Units lose only half strength in bad weather,Leader,Win,Random,Blood and Wine
208,Skellige,Crach an Craite,Toussaint,-,Leader,Shuffles each player's graveyard back into deck,Leader,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
209,Skellige,Mardroeme 1/2,Toussaint,-,Special,Triggers transformation of all Berserkers on same row,Special,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
210,Skellige,Mardroeme 2/2,Toussaint,-,Special,Triggers transformation of all Berserkers on same row,Special,Win,Random,Blood and Wine
211,Skellige,Hjalmar,Toussaint,10,Ranged,Immune to Special,Hero,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
212,Skellige,Madman Lugos,Toussaint,6,Melee,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
213,Skellige,Blueboy Lugos,Toussaint,6,Melee,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
214,Skellige,Clan an Craite Warrior 1/3,Toussaint,6,Melee,Tight Bond,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
215,Skellige,Clan an Craite Warrior 2/3,Toussaint,6,Melee,Tight Bond,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
216,Skellige,Clan an Craite Warrior 3/3,Toussaint,6,Melee,Tight Bond,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
217,Skellige,War Longship 1/2,Toussaint,6,Siege,Tight Bond,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
218,Skellige,War Longship 2/2,Toussaint,6,Siege,Tight Bond,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
219,Skellige,Clan Brokvar Archer 1/2,Toussaint,6,Ranged,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
220,Skellige,Clan Brokvar Archer 2/2,Toussaint,6,Ranged,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
221,Skellige,Holger Blackhand,Toussaint,4,Siege,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
222,Skellige,Donar an Hindar,Toussaint,4,Melee,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
223,Skellige,Udalryk,Toussaint,4,Melee,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
224,Skellige,Svanrige,Toussaint,4,Melee,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
225,Skellige,Berserker,Toussaint,4,Melee,Berserker,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
226,Skellige,Clan Tordarroch Armorsmith,Toussaint,4,Melee,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
227,Skellige,Clan Heymaey Skald,Toussaint,4,Melee,-,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
228,Skellige,Light Longship 1/3,Toussaint,4,Ranged,Muster,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
229,Skellige,Light Longship 2/3,Toussaint,4,Ranged,Muster,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
230,Skellige,Light Longship 3/3,Toussaint,4,Ranged,Muster,Unit,Win,Random,Blood and Wine
231,Skellige,Clan Drummond Shield Maiden 1/3,Toussaint,4,Melee,Tight Bond,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
232,Skellige,Clan Drummond Shield Maiden 2/3,Toussaint,4,Melee,Tight Bond,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
233,Skellige,Clan Drummond Shield Maiden 3/3,Toussaint,4,Melee,Tight Bond,Unit,Win,Random,Blood and Wine
234,Skellige,Birna Bran,Toussaint,2,Melee,Medic,Unit,Base Deck,"Talk to the tournament organizer during Gwent: Never Fear, Skellige's Here",Blood and Wine
